run_id,strategy,seed,stall_width_m,aisle_width_m,ped_density_per_m,suv_probability,suv_present,pedestrian_count,pedestrian_speed_mps,total_cycle_time_s,reaction_time_s,gear_shifts,los_blocked,creep_activated,max_blind_exit_speed_mps,min_pedestrian_distance_m,proximity_warning,required_braking_mps2,critical_conflict,collision
6319,reverse,42,2.7,6.3055,0.0848,0.77236,True,1,1.148,18.3708,0.7161,2,False,False,1.2,2.408,False,2.1476,False,False
6320,forward,42,2.7,5.797,0.20425,0.71553,False,2,1.2092,15.1396,0.7727,1,False,False,1.2,2.8138,True,0.0834,False,False
6321,reverse,42,2.7,6.4692,0.14143,0.25188,True,1,1.1944,18.4928,0.7172,2,False,False,1.2,2.4161,True,2.6476,False,False
6322,forward,42,2.7,5.9273,0.15699,0.77342,True,1,1.2703,17.2071,0.7592,1,True,True,0.5,1.9024,True,0.1736,False,False
6323,reverse,42,2.7,7.0197,0.15178,0.43478,True,0,,18.9431,0.7612,2,False,False,1.2,,True,0.2373,False,False
6324,forward,42,2.7,6.7831,0.20538,0.23915,False,2,1.4821,15.9612,0.9814,1,False,False,1.2,2.9052,True,1.3906,False,False
6325,reverse,42,2.7,5.6893,0.14754,0.42625,True,0,,18.287,1.0871,2,False,False,1.2,,True,0.1995,False,False
6326,forward,42,2.7,6.5785,0.24239,0.24297,True,4,1.773,17.6368,0.7841,1,True,True,0.5,1.1916,True,0.4752,False,False
6327,reverse,42,2.7,6.0113,0.29522,0.21703,True,0,,18.0658,0.6282,2,False,False,1.2,,False,2.391,False,False
6328,forward,42,2.7,5.8807,0.132,0.32124,False,0,,14.8285,0.4097,1,False,False,1.2,,False,1.8258,False,False
6329,reverse,42,2.7,7.0345,0.0705,0.39008,True,1,1.0984,18.8137,0.6208,2,False,False,1.2,2.4747,False,0.8612,False,False
6330,forward,42,2.7,5.9125,0.18508,0.03695,False,1,1.8823,15.2022,0.7636,1,False,False,1.2,2.3673,False,1.202,False,False
6331,reverse,42,2.7,6.64,0.07623,0.29966,True,0,,18.5628,0.6612,2,False,False,1.2,,True,1.9463,False,False
6332,forward,42,2.7,6.2176,0.2674,0.70406,True,1,1.0374,17.5836,0.9554,1,True,True,0.5,2.3978,True,0.8707,False,False
6333,reverse,42,2.7,6.2597,0.19792,0.31766,False,1,1.5919,18.1705,0.5496,2,False,False,1.2,1.9034,False,3.1101,True,False
6334,forward,42,2.7,6.3268,0.29925,0.40451,True,6,1.1518,17.5496,0.8535,1,True,True,0.5,0.7858,True,3.9011,True,False
6335,reverse,42,2.7,5.6783,0.1873,0.60064,True,1,1.2743,17.9143,0.7226,2,False,False,1.2,1.6897,True,0.3748,False,False
6336,forward,42,2.7,5.8072,0.16868,0.36207,False,0,,15.0722,0.699,1,False,False,1.2,,False,2.7265,False,False
6337,reverse,42,2.7,6.3109,0.22043,0.01868,False,4,1.5491,18.4767,0.818,2,False,False,1.2,2.855,False,2.6518,False,False
6338,forward,42,2.7,6.1345,0.15355,0.60223,False,3,1.4757,15.3173,0.7407,1,False,False,1.2,2.4084,False,2.0133,False,False
6339,reverse,42,2.7,5.7556,0.16349,0.73085,False,0,,17.8577,0.6089,2,False,False,1.2,,False,3.6037,True,False
6340,forward,42,2.7,7.1049,0.1457,0.31179,False,1,1.0399,15.8608,0.681,1,False,False,1.2,3.4489,False,0.4486,False,False
